id,composition,energyperatom,volume,num_sites
icsd_054356,Sn1Sr1Zn1,-2.82862,168.12373,6
icsd_054406,Ca1Fe2P2,-5.6252,62.9205,5
icsd_054407,Fe2P2Sr1,-5.5547,84.94541,5
icsd_054408,Ba1Fe2P2,-5.61394,91.73238,5
icsd_054465,Au1Mn1Sn1,-3.18867,63.2079,3
icsd_054507,Au1Rb2S4Sb1,-3.7022,985.31286,32
icsd_054511,Ru3Sn7,-4.76265,411.78958,20
icsd_054512,Cl1In1,-3.11174,1894.19654,64
icsd_054566,Bi2Co1Hf6,-7.02746,189.96539,9
icsd_054657,Cu1Sn1Ti1,-4.08616,100.75083,6
icsd_054667,Ba2La2Mn1O12W2,-7.93201,259.41455,19
icsd_054725,Ba2Ir3O9,-6.18529,417.94844,28
icsd_054729,B4Y1,-6.99303,203.57231,20
icsd_054756,Sn4Sr1,-3.84772,284.20119,10
icsd_054779,Mg5Si6,-3.6389,200.55488,11
icsd_054781,Al1Mg4Si6,-3.76773,197.9089,11
icsd_054786,B6Fe23,-6.20786,311.52859,29
icsd_054838,Bi2Se2Te1,-3.9484,147.17361,5
icsd_054852,As1Cs1F4,-4.61398,253.21203,12
icsd_054853,Ba5Bi5In4,-3.56594,1016.07466,28
icsd_054854,Al4B6O15,-7.82819,244.67238,25
icsd_054859,Ag1In3K2Se6,-3.44052,1436.91035,48
icsd_054901,Ge2K1Se4,-3.99167,1568.05506,56
icsd_054909,C2O4Sn1,-7.11064,191.62636,14
icsd_054919,La1Mn1O3,-7.96905,239.42556,20
icsd_054976,Bi1Pd1,-3.81842,334.17363,16
icsd_055051,Ba3Ir2La1O9,-6.53059,464.62356,30
icsd_055053,Al1F6Li1Sr1,-5.63503,410.99649,36
icsd_055062,C6Cu5Na1,-5.02021,585.13811,48
icsd_055065,Bi1K1,-2.93538,1273.18467,32
icsd_055066,Bi1Rb1,-2.86249,1416.8495,32
icsd_055067,Bi1Cs1,-2.84244,1565.73734,32
icsd_055069,Bi2Rb1,-3.30933,222.9165,6
icsd_055070,Bi2Cs1,-3.27066,229.58251,6
icsd_055075,Se4Ti5,-5.64752,164.12364,9
icsd_055076,O5Pb3Se1,-5.47407,324.71673,18
icsd_055084,Cu7La8O19,-6.45899,887.15058,68
icsd_055124,Rb2Te1,-2.64043,220.8531,6
icsd_055135,Rb2Te1,-2.69832,114.13325,3
icsd_055138,Rb2Te1,-2.6789,580.31523,12
icsd_055180,I1In1,-2.60233,147.85984,4
icsd_055183,I1In1,-2.55064,119.59323,4
icsd_055189,Br1In1,-2.86404,119.31796,4
icsd_055203,Ca1Si1,-4.25358,87.78464,4
icsd_055219,Ca1Sn1,-3.64772,82.13058,4
icsd_055237,Ag1Te1,-2.04037,823.72911,32
icsd_055299,K4Se8Sn3,-3.75046,934.06976,30
icsd_055331,O9Pb4V2,-6.58246,1949.0871,120
icsd_055349,Au1Li2Sn2,-3.13776,203.15009,10
icsd_055365,Ag2Cs3S8Sb3,-3.68002,952.96189,32
icsd_055367,Ag1Cs2S4Sb1,-3.5707,502.02864,16
icsd_055368,Ag1As1Cs2S4,-3.61964,481.94482,16
icsd_055416,Ga5La3O14Sn1,-6.8324,305.60036,23
icsd_055419,As3K5Pb3,-3.14814,1557.07753,44
icsd_055420,K3Mn2O8,-5.75964,403.74314,26
icsd_055442,O4V2Zn1,-7.14168,148.32423,14
icsd_055443,O4V2Zn1,-7.14173,148.36693,14
icsd_055445,B7Cl1O13Zn3,-7.02231,441.17666,48
icsd_055534,N6Na5Rb1W2,-5.94602,1842.54464,112
icsd_055536,Ba3N2O1Zn1,-5.10038,154.95129,7
icsd_055564,Co1Sn1,-4.29583,102.8047,6
icsd_055577,Mg9Sn5,-2.5909,663.63523,28
