id,composition,energyperatom,volume,num_sites
K1Y1Cd1N2_sg29_icsd_048024_2,K1Y1Cd1N2,-2.01048,561.09855,20
Na3Cd1Br5_sg140_icsd_203087_1,Na3Cd1Br5,-2.56127,1369.06696,36
Mg3N1P1_sg225_icsd_029149_2,Mg3N1P1,-3.07404,818.90352,40
Zn1Cd1F4_sg14_icsd_071455_2,Zn1Cd1F4,-3.75462,175.0466,12
Na3La2N3_sg71_icsd_043231_2,Na3La2N3,-3.335,321.31,16
Mg3N1P1_sg217_icsd_028545_1,Mg3N1P1,-4.40962,582.10325,40
Li1Hf1Zn1F4N1_sg2_icsd_094532_4,Li1Hf1Zn1F4N1,-3.20773,411.94339,16
K1Ge1P1Br1N3_sg26_icsd_075401_13,K1Ge1P1Br1N3,-3.39098,474.50089,14
Li3B1Br3P1_sg148_icsd_408324_3,Li3B1Br3P1,-2.56524,1229.08626,48
Na2Cd1Hg1P2_sg52_icsd_085466_1,Na2Cd1Hg1P2,-2.47221,547.35614,24
Zn1Zr1S3_sg139_icsd_240442_1,Zn1Zr1S3,-4.20433,772.37068,40
Na2Hg1Sn1O4_sg82_icsd_262388_2,Na2Hg1Sn1O4,-4.33552,260.4036,16
K1Hf1Sn1N3_sg189_icsd_026678_3,K1Hf1Sn1N3,-1.70715,1013.97493,18
Li1Hg1P1S4_sg8_icsd_086792_2,Li1Hg1P1S4,-3.02836,580.99858,14
Li2La1Zr1P3_sg14_icsd_421091_1,Li2La1Zr1P3,-4.6668,780.74557,28
K2O1_sg31_icsd_051238_1,K2O1,-1.99963,200.46311,6
Na1Hf1I2P1_sg67_icsd_200213_5,Na1Hf1I2P1,-2.98753,684.20861,20
Zn2La2O5_sg55_icsd_180494_1,Zn2La2O5,-6.37016,245.20819,18
Mg1Al2O4_sg136_icsd_601113_1,Mg1Al2O4,-4.72502,143.21859,14
Li2F1I1_sg129_icsd_656838_2,Li2F1I1,-2.47101,233.70053,8
Li2Sb1Cl7_sg13_icsd_067168_1,Li2Sb1Cl7,-2.464,443.09,20
Mg1O1_sg141_icsd_108656_1,Mg1O1,-5.45004,83.87025,8
Na1Cd1I3_sg86_icsd_002642_2,Na1Cd1I3,-1.97678,2128.90459,40
Li2F1I1_sg6_icsd_164853_1,Li2F1I1,-3.50004,471.32239,24
Zn1F2_sg46_icsd_075652_1,Zn1F2,-3.8848,685.11033,24
Zn1Si1N2_sg187_icsd_074703_2,Zn1Si1N2,-5.16544,40.37341,4
Li1Br1_sg194_icsd_027987_2,Li1Br1,-3.23712,178.52528,4
K1Sn1Sb2P5_sg82_icsd_095267_1,K1Sn1Sb2P5,-3.89945,927.14717,36
K1Sb1N2_sg14_icsd_627631_2,K1Sb1N2,-3.57795,278.74923,16
Zn1Sn1N2_sg164_icsd_423545_1,Zn1Sn1N2,-4.08529,515.39512,32
Mg2Zr2O3N2_sg2_icsd_412076_4,Mg2Zr2O3N2,-4.78767,542.4699,36
Li2W1S4_sg62_icsd_038109_1,Li2W1S4,-4.5716,521.42751,28
Zn1Zr1S3_sg26_icsd_016834_2,Zn1Zr1S3,-4.49857,266.59275,10
Zn1S1_sg164_icsd_060168_1,Zn1S1,-1.82126,477.08574,16
Mg1Sc1Zn1I1O3_sg187_icsd_154684_20,Mg1Sc1Zn1I1O3,-2.87719,231.13807,7
Na1Sb1O3_sg12_icsd_030531_2,Na1Sb1O3,-3.67966,346.71885,20
K1Y1Cd1N2_sg67_icsd_085581_1,K1Y1Cd1N2,-4.86234,453.28216,20
Mg1Hf1O3_sg62_icsd_000008_2,Mg1Hf1O3,-6.95552,294.37436,20
Na2W1O1P2_sg12_icsd_300133_4,Na2W1O1P2,-1.50383,803.31522,24
Na2Zr1Ge1O5_sg55_icsd_164828_1,Na2Zr1Ge1O5,-6.18869,531.78241,36
Na2Zr1P2_sg141_icsd_025002_2,Na2Zr1P2,-2.26582,631.749,20
Mg1Zn1Hg1N1P1_sg11_icsd_094400_91,Mg1Zn1Hg1N1P1,-1.40816,483.5524,10
Zn1Hg1S2_sg62_icsd_172852_1,Zn1Hg1S2,-2.41627,377.20107,16
Mg2Cl1P1_sg1_icsd_200263_1,Mg2Cl1P1,-2.85899,366.74163,16
Zn1Hg1S2_sg65_icsd_040487_2,Zn1Hg1S2,-2.19871,917.97845,48
Zn1Hg2O2S1_sg123_icsd_160692_2,Zn1Hg2O2S1,-2.44257,100.8421,6
K3F1O1_sg140_icsd_025775_1,K3F1O1,-3.48328,473.72516,20
K3F1O1_sg166_icsd_022310_2,K3F1O1,-3.53604,135.10736,5
Mg1Si1I4S1_sg34_icsd_010456_3,Mg1Si1I4S1,-2.19795,1088.64686,28
Mg1B1Cl5_sg40_icsd_009912_2,Mg1B1Cl5,-2.51219,713.18671,28
Li4Cl1N1_sg129_icsd_006043_2,Li4Cl1N1,-3.70288,383.02001,24
Li1Cd1P1O3S1_sg187_icsd_154682_6,Li1Cd1P1O3S1,-4.61415,161.82484,7
Na1La1Cl4_sg33_icsd_404394_1,Na1La1Cl4,-3.91639,1512.8571,24
K5La1O4_sg35_icsd_158278_1,K5La1O4,-3.322,501.68,20
Li1I1_sg136_icsd_654407_1,Li1I1,-2.93918,282.13626,8
Li1Si1F1S2_sg36_icsd_422280_2,Li1Si1F1S2,-4.04748,319.70865,20
Zn1Sn2O5_sg2_icsd_087498_1,Zn1Sn2O5,-5.25788,524.85596,32
Zn1Ge1O3_sg12_icsd_030531_2,Zn1Ge1O3,-4.30503,297.41533,20
Na2Zr1N1P1_sg66_icsd_061403_3,Na2Zr1N1P1,-3.00025,847.58653,40
Na1Sc1Y1F1O3_sg129_icsd_086428_8,Na1Sc1Y1F1O3,-4.3602,225.06461,14
Li1F1_sg194_icsd_044987_2,Li1F1,-4.82596,103.17925,12
Zn2I2O1_sg62_icsd_066656_2,Zn2I2O1,-1.4929,594.54557,20
Li1Hg1Br3_sg148_icsd_413166_1,Li1Hg1Br3,-2.12628,1118.01678,30
Na2Zr1F6_sg63_icsd_109146_1,Na2Zr1F6,-5.57234,518.08806,36
Li1Cd1P1O3S1_sg174_icsd_248042_8,Li1Cd1P1O3S1,-4.26581,121.22549,7
Zn1Cd1O2_sg150_icsd_150675_1,Zn1Cd1O2,-3.84463,51.42728,4
K2Zn3S4_sg76_icsd_109620_1,K2Zn3S4,-1.34738,2514.01077,36
Li1Sc1Cl4_sg4_icsd_240693_1,Li1Sc1Cl4,-3.93152,638.50418,12
K2Sc2Zn1O2P2_sg139_icsd_088424_12,K2Sc2Zn1O2P2,-1.83454,510.70997,18
Mg1Sb1I4P1_sg156_icsd_002465_1,Mg1Sb1I4P1,-2.04022,296.93813,7
Zn1Al1I1S2_sg29_icsd_048024_1,Zn1Al1I1S2,-2.39684,559.2542,20
K1Zr1Ge1Br1O4_sg62_icsd_261343_18,K1Zr1Ge1Br1O4,-4.78753,844.1341,32
K1Sb1I4O1_sg136_icsd_079482_2,K1Sb1I4O1,-2.263,1953.554,28
K1La1S2_sg78_icsd_067327_1,K1La1S2,-3.9484,681.80475,16
Mg1B2O4_sg160_icsd_640407_1,Mg1B2O4,-5.91064,179.67905,21
Mg1Hg1F4_sg123_icsd_054119_1,Mg1Hg1F4,-2.5951,143.14138,6
Na1Sb1O3_sg74_icsd_180417_1,Na1Sb1O3,-5.5692,247.18289,20
Zn1Cd1O2_sg187_icsd_074703_2,Zn1Cd1O2,-3.0497,59.80446,4
K1Y1O2_sg2_icsd_015098_2,K1Y1O2,-5.33669,79.53567,4
Zn1Hf1Cd1O4_sg12_icsd_248222_4,Zn1Hf1Cd1O4,-4.56354,722.15516,28
K1La1S2_sg123_icsd_069124_1,K1La1S2,-2.97669,164.89008,4
Na1Sc1Cd4N4_sg4_icsd_075430_2,Na1Sc1Cd4N4,-2.59915,437.23701,20
