id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy
Na3Hf1Br7_icsd_059593_1,Na3HfBr7,False,44,1489.42,-3.5775,-3.587,-3.651,-0.679,-0.7525,0.0303
Li1Hf1Cl1Br4_icsd_183878_3,LiHfBr4Cl,False,28,961.69,-3.988,-3.9453,-4.151,-0.703,-0.8661,0.0304
Li4Sc2Br8S1_icsd_002330_1,Li4Sc2SBr8,False,30,774.71,-3.4673,-3.3541,-3.975,-0.1431,-0.6508,0.0304
Li1Y1Cl2Br2_Mg1Hf1Cl2S2_sg63_icsd_260003_2_1,LiY(BrCl)2,False,24,708.92,-4.336,-4.3258,-4.337,-0.416,-0.4176,0.0305
Li1Y2Zn1Cl2Br7_icsd_098129_3,LiY2ZnBr7Cl2,False,26,832.69,-3.226,-3.0519,-3.92,-0.104,-0.7979,0.0305
K3Sc1Br3I3_icsd_097452_2,K3Sc(IBr)3,False,10,424.53,-3.3221,-3.3293,-3.363,-0.5401,-0.5811,0.0307
K2Y2F1Br7_icsd_079478_1,K2Y2Br7F,False,24,937.89,-3.994,-4.0054,-4.323,-0.848,-1.1773,0.0308
Li2Hg2Al1Br9_icsd_075583_1,Li2AlHg2Br9,False,28,1016.31,-2.3615,-2.3954,-2.59,-0.1381,-0.3666,0.0309
Na1Y1Hg1Br6_icsd_202748_1,NaYHgBr6,False,36,1260.23,-3.225,-3.1599,-3.21,-0.6138,-0.5989,0.0309
Li1Sc1Cl1Br3_icsd_241140_3,LiScBr3Cl,False,24,678.32,-3.977,-3.9689,-4.045,-0.732,-0.8004,0.031
K1Sc3Br6I4_icsd_060959_1,KSc3(I2Br3)2,False,28,874.82,-3.55,-3.4995,-3.648,-1.097,-1.1948,0.0313
Li3Y1Al1Br9_icsd_039809_2,Li3YAlBr9,False,28,965.68,-3.236,-3.2091,-3.636,-0.5672,-0.9672,0.0314
Na5Al1Br8_icsd_262806_1,Na5AlBr8,False,28,864.98,-3.1012,-3.0479,-3.113,-0.3539,-0.3657,0.0316
Na1Sc2Zn1Br2I7_icsd_071263_3,NaSc2ZnI7Br2,False,26,1126.81,-2.654,-2.5664,-3.22,-0.115,-0.681,0.0317
Na2Hf1Sb1Br11_icsd_081223_2,Na2HfSbBr11,False,15,574.35,-2.9514,-2.9426,-3.233,-0.242,-0.5236,0.0317
K5Al1Br8_icsd_262806_1,K5AlBr8,False,28,1127.3,-3.1182,-3.0443,-3.178,-0.3155,-0.3753,0.0319
K2Y1Cl2Br3_icsd_060621_1,K2YBr3Cl2,False,32,1202.21,-3.822,-3.8435,-4.003,-0.144,-0.3249,0.0319
K1Y1Cl1Br3_icsd_186409_1,KYBr3Cl,False,12,392.8,-4.069,-4.0543,-4.174,-0.801,-0.9063,0.0319
K1Hg1Al1Br4I2_icsd_083588_2,KAlHg(IBr2)2,False,36,1611.24,-2.544,-2.5622,-2.651,-0.187,-0.2937,0.032
Li3Sc1Br5I1_icsd_038067_1,Li3ScIBr5,False,40,1275.31,-3.1718,-3.197,-3.6,-0.1771,-0.6053,0.032
K3Al2Cl1Br8_icsd_412221_1,K3Al2Br8Cl,False,28,1094.85,-3.2392,-3.2382,-3.306,-0.5921,-0.6589,0.032
Li1Sc2Si1F11_icsd_081223_1,LiSc2SiF11,False,15,193.76,-5.8422,-5.7081,-6.075,-0.9312,-1.164,0.0321
Na3Sc1Br3I3_icsd_097452_2,Na3Sc(IBr)3,False,10,344.83,-3.2211,-3.2199,-3.292,-0.1886,-0.2595,0.0321
Li1Sc2Sn1Br11_icsd_081223_1,LiSc2SnBr11,False,15,496.17,-3.4627,-3.399,-3.523,-0.8827,-0.9429,0.0323
Li2Al1Cl1Br4_icsd_202983_1,Li2AlBr4Cl,False,32,1121.79,-3.197,-3.2083,-3.403,-0.244,-0.4502,0.0325
Na1Sc2Y1Br2I8_icsd_408052_1,NaYSc2(I4Br)2,False,28,1272.1,-3.222,-3.1667,-3.684,-0.167,-0.6292,0.0326
K1Sc2Zn1Br2I7_icsd_071263_3,KSc2ZnI7Br2,False,26,1169.7,-2.677,-2.5882,-3.245,-0.285,-0.8524,0.0326
Na2Sc1Br2I3_icsd_413938_1,Na2ScI3Br2,False,16,563.29,-3.152,-3.1334,-3.348,-0.249,-0.4455,0.0327
Na3Hf1Zn1Br9_icsd_039809_2,Na3HfZnBr9,False,28,934.57,-3.1704,-3.1103,-3.387,-0.367,-0.5836,0.0327
K4Si2Sn1S8_icsd_165312_1,K4Si2SnS8,False,15,405.77,-4.4566,-4.3566,-4.435,-0.154,-0.1324,0.0329
K1Hg2F5_icsd_184282_1,KHg2F5,False,32,507.8,-3.2432,-3.1408,-3.161,-0.1049,-0.0227,0.0332
K3Hf1Cd1Br9_icsd_039809_2,K3HfCdBr9,False,28,1092.52,-3.1307,-3.017,-3.424,-0.3319,-0.6252,0.0333
Na1Sc3F6S2_icsd_063423_1,NaSc3(SF3)2,False,12,200.25,-5.3334,-5.2207,-6.184,-0.4207,-1.2713,0.0333
K3Sc1F2Br4_icsd_065553_1,K3Sc(Br2F)2,False,40,1181.18,-4.142,-4.1182,-4.194,-0.2709,-0.3228,0.0334
Li4Al1Br7_icsd_603686_1,Li4AlBr7,False,24,713.76,-3.1628,-3.1721,-3.293,-0.295,-0.4252,0.0337
Li1Y2Hg1Br9_icsd_281502_1,LiY2HgBr9,False,26,998.35,-3.4236,-3.3705,-3.606,-1.0559,-1.2384,0.0339
Li1Sc1Br1I3_icsd_241140_3,LiScI3Br,False,24,864.07,-3.454,-3.4474,-3.536,-0.335,-0.4171,0.034
Na1Zn1Al2Br9_icsd_281502_1,NaAl2ZnBr9,False,26,1143.15,-2.8228,-2.7877,-3.043,-0.5752,-0.7954,0.0342
Li3Al2Br8I1_icsd_412221_1,Li3Al2IBr8,False,28,1007.29,-3.085,-3.1117,-3.253,-0.463,-0.6311,0.0343
Na1Sc2Hg1I9_icsd_281502_1,NaSc2HgI9,False,26,1327.79,-2.8388,-2.777,-2.946,-0.7086,-0.8158,0.0345
Na1Sc2Hg1F2Br7_icsd_071276_3,NaSc2HgBr7F2,False,26,837.24,-3.079,,-3.897,-0.176,-0.9932,0.0346
Li2Y1Br4I1_icsd_000484_1,Li2YIBr4,False,16,523.38,-3.662,-3.623,-3.796,-0.543,-0.6765,0.0346
Na3Sc1B1I9_icsd_039809_2,Na3ScBI9,False,28,1375.21,-2.8531,-2.8225,-2.995,-0.1435,-0.2854,0.035
Na1Sc2Hg1Br9_icsd_281502_1,NaSc2HgBr9,False,26,1041.86,-3.3244,-3.2586,-3.403,-0.8719,-0.9505,0.0353
Na1Sc1F3Cl1_icsd_279576_3,NaScClF3,False,24,420.06,-5.29,-5.3002,-5.501,-0.698,-0.9086,0.0354
K2Hf1Cl2Br4_icsd_201173_1,K2Hf(Br2Cl)2,False,36,1367.18,-3.979,-3.9779,-4.024,-0.454,-0.4989,0.0355
Li1La2Hf1Br11_icsd_081223_1,LiLa2HfBr11,False,15,556.19,-3.9683,-3.9448,-4.125,-0.3174,-0.4741,0.0357
Li3Al2Cl1Br8_icsd_412221_1,Li3Al2Br8Cl,False,28,927.53,-3.142,-3.1623,-3.358,-0.417,-0.6335,0.0357
K2Sc2F1Br7_icsd_079478_1,K2Sc2Br7F,False,24,838.63,-3.813,-3.8344,-4.133,-0.809,-1.1288,0.0357
Na1Sc1La1F6Br1_icsd_159097_19,NaLaScBrF6,False,20,334.33,-5.699,-5.6292,-5.886,-0.499,-0.6861,0.0359
K2Y2Cl1Br7_icsd_079478_1,K2Y2Br7Cl,False,24,970.14,-3.975,-3.9693,-4.111,-1.02,-1.1563,0.0359
K4Al1Br7_icsd_603686_1,K4AlBr7,False,24,897.46,-3.1674,-3.1506,-3.186,-0.42,-0.4386,0.0364
