id,reduced_comp,in_icsd,full_energyperatom,sc_decomp_energy,cond_ion_frac,oxidation,reduction,stability_window,reward
K3Sc1La1Br9_icsd_039809_2,K3LaScBr9,False,-3.752,0.0733,0.2143,,,,0.3035
Na1Sc2Hf1I11_icsd_081223_1,NaHfSc2I11,False,-3.489,0.0733,0.0667,,,,0.283
K2Sc1Br1I4_icsd_412955_1,K2ScI4Br,False,-3.278,0.0733,0.25,,,,0.3084
K1Sc2B1Br8I2_icsd_422132_1,KSc2B(IBr4)2,False,-3.676,0.0734,0.0714,,,,0.2836
Li2Hf1Cd1Br8_icsd_166610_2,Li2HfCdBr8,False,-3.46,0.0735,0.1667,,,,0.2968
K1Y2Cd1Br9_icsd_281502_1,KY2CdBr9,False,-3.723,0.0735,0.0769,,,,0.2844
K2Zn2Al1Br9_icsd_075583_1,K2AlZn2Br9,False,-2.848,0.0735,0.1429,,,,0.2935
Na2Sc1Al1Br8_icsd_161847_1,Na2ScAlBr8,False,-3.486,0.0735,0.1667,,,,0.2968
Na1Hf1Cd1Br6I1_icsd_159098_23,NaHfCdIBr6,False,-3.339,0.0736,0.1,,,,0.2876
K3Sc1Cd1I8_icsd_069143_2,K3ScCdI8,False,-2.819,0.0738,0.2308,,,,0.3057
Li6Ge2O7_icsd_025389_1,Li6Ge2O7,True,-5.61,0.0738,0.4,,,,0.3848
K1Sc1Y1Br6I1_icsd_159097_19,KYScIBr6,False,-3.998,0.0739,0.1,,,,0.2876
Na1Al2Sn1Br11_icsd_078867_1,NaAl2SnBr11,False,-3.04,0.074,0.0667,,,,0.2829
Na4Hf1Br7I1_icsd_421546_2,Na4HfIBr7,False,-3.457,0.0742,0.3077,,,,0.3591
Na2Sc1Hg1F7_icsd_400729_1,Na2ScHgF7,False,-4.731,0.0743,0.1818,,,,0.2989
Na1Y2Cd1Br7I2_icsd_071263_3,NaY2CdI2Br7,False,-3.601,0.0743,0.0769,,,,0.2843
Li1Hf1Br4I1_icsd_049516_3,LiHfIBr4,False,-3.899,0.0745,0.1429,,,,0.2935
K2Y1Zn1Br7_icsd_093723_2,K2YZnBr7,False,-3.406,0.0745,0.1818,,,,0.2989
Na2Y1Hf1Br9_icsd_180336_2,Na2YHfBr9,False,-3.93,0.0745,0.1538,,,,0.295
Li2Al2Br7I1_icsd_100030_1,Li2Al2IBr7,False,-3.204,0.0749,0.1667,,,,0.2968
Na3Sc2F8Br1_icsd_412221_1,Na3Sc2BrF8,False,-5.436,0.075,0.2143,,,,0.3034
Na2Hf1Br5I1_icsd_085061_2,Na2HfIBr5,False,-3.661,0.0751,0.2222,,,,0.3045
Li2Y1Cd1Br7_icsd_161498_2,Li2YCdBr7,False,-3.396,0.0751,0.1818,,,,0.2989
K3Sc1Hg1Br8_icsd_069143_2,K3ScHgBr8,False,-3.105,0.0752,0.2308,,,,0.3057
Li4Hf1Br7I1_icsd_421546_2,Li4HfIBr7,False,-3.631,0.0752,0.3077,,,,0.3591
Na3Hf1Br6I1_icsd_170764_2,Na3HfIBr6,False,-3.541,0.0752,0.2727,,,,0.3115
Li3Y1La1Br9_icsd_174519_1,Li3LaYBr9,False,-3.881,0.0752,0.2143,,,,0.3034
Na1Sc2Zr1I11_icsd_081223_1,NaZrSc2I11,False,-3.391,0.0754,0.0667,,,,0.2829
Na1Zn2Al1Br8_icsd_425174_1,NaAl(ZnBr4)2,False,-2.769,0.0754,0.0833,,,,0.2852
K1Hf1Zn1Br5S1_icsd_411443_2,KHfZnSBr5,False,-3.868,0.0756,0.1111,,,,0.289
Li1Sc1Hg1I6_icsd_164941_1,LiScHgI6,False,-2.696,0.0756,0.1111,,,,0.289
Na2Sc1Cd1I7_icsd_093723_1,Na2ScCdI7,False,-2.771,0.0759,0.1818,,,,0.2988
K1Y2Zn1Br9_icsd_281502_1,KY2ZnBr9,False,-3.755,0.076,0.0769,,,,0.2842
Na3Sc2F8I1_icsd_412221_1,Na3Sc2IF8,False,-5.383,0.076,0.2143,,,,0.3033
K2Sc1Cl1I4_icsd_412955_1,K2ScI4Cl,False,-3.367,0.0762,0.25,,,,0.3083
K3Sc1Zn1Br8_icsd_069143_2,K3ScZnBr8,False,-3.279,0.0762,0.2308,,,,0.3056
Na1Y3Br8I2_icsd_067711_1,NaY3(IBr4)2,False,-3.95,0.0763,0.0714,,,,0.2835
Na1Hg1Al1Br5I1_icsd_050988_3,NaAlHgIBr5,False,-2.613,0.0763,0.1111,,,,0.289
Li1Hg1Al1Br5I1_icsd_050988_3,LiAlHgIBr5,False,-2.664,0.0766,0.1111,,,,0.289
K2Y1Cd2Br8I1_icsd_072364_3,K2YCd2IBr8,False,-3.072,0.0767,0.1429,,,,0.2934
Li1Sc2Cd1Br7S1_icsd_166998_4,LiSc2CdSBr7,False,-3.821,0.0768,0.0833,,,,0.2851
Li2Y1Hg1Br7_icsd_161498_2,Li2YHgBr7,False,-3.227,0.0768,0.1818,,,,0.2988
