id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy,mv_id,Formula,E_hull-m (eV/atom),Final M3GNet energy (eV),Form. Energy E_f (eV/atom),Band Gap E_g (eV),Bulk Modulus K (GPa),Shear Modulus G (GPa),Metal Prob.
Na1Ti1F5_icsd_171399_1,NaTiF5,False,28,432.72,-5.639,-5.6012,-5.622,-0.3116,-0.2946,-0.0026,mv-20720373,NaTiF5,0.035,-164.733,-3.534,4.827,16.2,9.6,0.0
Li1Ge1O1N1_icsd_183047_2,LiGeNO,False,8,89.76,-6.131,-6.0745,-6.114,-0.147,-0.1304,-0.0025,mv-27802682,LiGeNO,-0.01,-97.89,-1.453,2.61,84.8,45.9,0.0
K1Zr1Cd1Br7_icsd_024423_2,KZrCdBr7,False,40,1389.78,-3.3222,-3.3042,-3.336,-0.1206,-0.1344,-0.0024,mv-12432325,KZrCdBr7,0.012,-139.637,-1.297,0.012,16.1,7.2,0.0
Li5Sc1Br8_icsd_067743_1,Li5ScBr8,False,14,345.78,-3.5826,-3.5717,-3.59,-0.5687,-0.5761,-0.0022,mv-11154638,Li5ScBr8,0.017,-51.098,-1.599,3.408,20.8,11.2,0.01
Li1Sc2Cl1Br6_icsd_035428_1,LiSc2Br6Cl,False,40,1276.36,-3.8,-3.8058,-4.057,-0.949,-1.2062,-0.0022,,,,,,,,,
Li1Hg1Al2Br9_icsd_281502_1,LiAl2HgBr9,False,26,1145.91,-2.6524,-2.6166,-2.919,-0.5448,-0.8114,-0.0022,,,,,,,,,
Li4Y1Br7_icsd_001322_1,Li4YBr7,False,12,395.27,-3.7352,-3.7063,-3.718,-0.7266,-0.7094,-0.0021,mv-7063273,Li4YBr7,0.085,-89.498,-1.576,3.657,18.6,8.3,0.01
K2Hf1Br4I2_icsd_240479_1,K2Hf(IBr2)2,False,9,357.25,-3.6,-3.6314,-3.724,-0.378,-0.5019,-0.0014,mv-4161671,K2Hf(IBr2)2,-0.005,-34.724,-1.468,2.428,9.2,5.1,0.0
K1W3Zn1N7_icsd_161813_1,KZnW3N7,False,24,424.22,-7.6469,-7.6146,-7.706,-0.1046,-0.1637,-0.0011,,,,,,,,,
Na1Sc1Cd1F6_icsd_165986_2,NaScCdF6,False,27,406.21,-5.2109,-5.1932,-5.199,-1.3461,-1.3342,-0.001,mv-24021564,NaScCdF6,0.004,-95.778,-3.438,4.788,32.7,18.8,0.0
K3Cd1Al1S4_icsd_182574_2,K3AlCdS4,False,36,1052.98,-3.8791,-3.8573,-3.87,-0.1688,-0.1597,-0.001,,,,,,,,,
Na1Sc3F8I2_icsd_067711_1,NaSc3(IF4)2,False,14,224.35,-5.3385,-5.2709,-5.586,-1.4367,-1.6842,-0.001,,,,,,,,,
Li1Hf2Br6N1_icsd_411777_1,LiHf2Br6N,False,40,1533.28,-4.893,-4.9064,-5.106,-0.552,-0.7653,-0.0006,,,,,,,,,
Li2Hf2Br8S1_icsd_096086_2,Li2Hf2SBr8,False,13,404.89,-3.843,-3.6844,-4.327,-0.31,-0.7941,-0.0003,,,,,,,,,
Na1Al2Br5I2_icsd_249341_2,NaAl2I2Br5,False,40,1840.99,-2.6095,-2.5425,-3.13,-0.2133,-0.7337,-0.0002,,,,,,,,,
